lang	domain	intent	utterance
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí cap temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualque temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevol temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualsevulla temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevol temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí qualssevulla temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí un temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí una temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí unes temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí uns temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algun temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguna temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar algunes temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar alguns temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar cap temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualque temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevol temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualsevulla temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevol temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar qualssevulla temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar un temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em vaig oblidar una temportizador
