domain,utterance
ovos-skill-local-media.openvoiceos,"vis filbrowser-app"
ovos-skill-local-media.openvoiceos,"vis filbrowserdrev"
ovos-skill-local-media.openvoiceos,"vis min filbrowser"
ovos-skill-local-media.openvoiceos,"vis min usb"
ovos-skill-local-media.openvoiceos,"vis mit filbrowserdrev"
ovos-skill-moviemaster.openvoiceos,"Fortæl mig om filmen _______"
ovos-skill-moviemaster.openvoiceos,"Har du info om filmen _______?"
ovos-skill-moviemaster.openvoiceos,"Hvad er de højest vurderede film ude?"
ovos-skill-moviemaster.openvoiceos,"Hvad handler filmen _______ om?"
ovos-skill-moviemaster.openvoiceos,"Hvem spiller i filmen _______?"
ovos-skill-moviemaster.openvoiceos,"Hvilke film anbefaler du som _______?"
ovos-skill-moviemaster.openvoiceos,"Hvilke genrer hører filmen _______ til?"
ovos-skill-moviemaster.openvoiceos,"Hvilke populære film afspilles nu?"
ovos-skill-moviemaster.openvoiceos,"Hvor lang er filmen _______?"
ovos-skill-moviemaster.openvoiceos,"Hvornår blev filmen _______ lavet?"
ovos-skill-naptime.openvoiceos,"Gå i seng"
ovos-skill-naptime.openvoiceos,"Nap tid"
ovos-skill-naptime.openvoiceos,"Vågn op"
ovos-skill-news.openvoiceos,"afspil catalanske nyheder"
ovos-skill-news.openvoiceos,"afspil nyheder på spansk"
ovos-skill-news.openvoiceos,"afspil nyhederne"
ovos-skill-news.openvoiceos,"afspil portugisiske nyheder"
ovos-skill-news.openvoiceos,"spil euronews"
ovos-skill-news.openvoiceos,"spil npr nyheder"
ovos-skill-number-facts.openvoiceos,"fakta om i går"
ovos-skill-number-facts.openvoiceos,"fakta om nummer 666"
ovos-skill-number-facts.openvoiceos,"matematisk fakta om nummer 7"
ovos-skill-number-facts.openvoiceos,"nysgerrighed om år 1992"
ovos-skill-number-facts.openvoiceos,"trivia om i morgen"
ovos-skill-number-facts.openvoiceos,"trivia om næste uge"
ovos-skill-number-facts.openvoiceos,"trivia tilfældigt tal"
ovos-skill-parrot.openvoiceos,"Fortæl mig, hvad jeg lige sagde."
ovos-skill-parrot.openvoiceos,"Gentag det"
ovos-skill-parrot.openvoiceos,"Gentag, hvad du lige sagde"
ovos-skill-parrot.openvoiceos,"Hvad sagde jeg lige?"
ovos-skill-parrot.openvoiceos,"Kan du gentage det?"
ovos-skill-parrot.openvoiceos,"Sig godnat, Gracie"
ovos-skill-parrot.openvoiceos,"gentag Engang en midnat trist, mens jeg grublede, svag og træt, over mange en særegne og mærkværdige mængde glemt historie"
ovos-skill-parrot.openvoiceos,"start papegøje"
ovos-skill-parrot.openvoiceos,"stop papegøje"
ovos-skill-parrot.openvoiceos,"tal jeg kan sige hvad du vil!"
ovos-skill-personal.openvoiceos,"Hvad er du?"
ovos-skill-personal.openvoiceos,"Hvem har lavet dig?"
ovos-skill-personal.openvoiceos,"Hvor er du født?"
ovos-skill-personal.openvoiceos,"Hvornår blev du skabt?"
ovos-skill-speedtest.openvoiceos,"kør en speedtest"
ovos-skill-volume.openvoiceos,"dæmp lydstyrken"
ovos-skill-volume.openvoiceos,"genopret lydstyrken"
ovos-skill-volume.openvoiceos,"høj lydstyrke"
ovos-skill-volume.openvoiceos,"høj lydstyrke"
ovos-skill-volume.openvoiceos,"indstill lydstyrken til standard"
ovos-skill-volume.openvoiceos,"indstill lydstyrken til standard"
ovos-skill-volume.openvoiceos,"indstill volumen til medium"
ovos-skill-volume.openvoiceos,"indstille lydstyrken til maksimum"
ovos-skill-volume.openvoiceos,"indstille lydstyrken til maksimum"
ovos-skill-volume.openvoiceos,"lav lydstyrke"
ovos-skill-weather.openvoiceos,"Bliver det koldt på tirsdag"
ovos-skill-weather.openvoiceos,"Hvad er den høje temperatur i morgen"
ovos-skill-weather.openvoiceos,"Hvad er luftfugtigheden?"
ovos-skill-weather.openvoiceos,"Hvad er temperaturen i Paris i morgen i Celsius?"
ovos-skill-weather.openvoiceos,"Hvad er temperaturen?"
ovos-skill-weather.openvoiceos,"Hvad er vejret denne weekend?"
ovos-skill-weather.openvoiceos,"Hvad er vejret i Houston?"
ovos-skill-weather.openvoiceos,"Hvad er vejrudsigten i London i morgen?"
ovos-skill-weather.openvoiceos,"Hvad er vejrudsigten i morgen?"
ovos-skill-weather.openvoiceos,"Hvor blæser det?"
ovos-skill-wikihow.openvoiceos,"hvordan får jeg min hund til at stoppe med at gø"
ovos-skill-wikihow.openvoiceos,"hvordan koger man et æg"
ovos-skill-wikipedia.openvoiceos,"Fortæl mig mere"
ovos-skill-wikipedia.openvoiceos,"Fortæl mig om Elon Musk"
ovos-skill-wikipedia.openvoiceos,"Fortæl mig om Pembroke Welsh Corgi"
ovos-skill-wikipedia.openvoiceos,"Fortæl mig om bønner"
ovos-skill-wikipedia.openvoiceos,"Mere information"
ovos-skill-wikipedia.openvoiceos,"Søg efter chokolade"
ovos-skill-wikipedia.openvoiceos,"Tjek Wikipedia for bønner"
ovos-skill-wolfie.openvoiceos,"Hvad er 18 gange 4?"
ovos-skill-wolfie.openvoiceos,"Hvad er Madonnas rigtige navn?"
ovos-skill-wolfie.openvoiceos,"Hvor højt er Mount Everest?"
ovos-skill-wolfie.openvoiceos,"Hvor mange tommer i en meter?"
ovos-skill-wolfie.openvoiceos,"Hvornår blev The Rocky Horror Picture Show udgivet?"
ovos-skill-wolfie.openvoiceos,"spørg ulven, hvad lysets hastighed er"
skill-ovos-spelling.openvoiceos,"Hvordan staver man bureaukrati?"
skill-ovos-spelling.openvoiceos,"Hvordan staves jordvark?"
skill-ovos-spelling.openvoiceos,"Stav almagt"
skill-ovos-spelling.openvoiceos,"Stav succotash"
