domain,utterance
ovos-skill-volume.openvoiceos,"alternar áudio"
ovos-skill-volume.openvoiceos,"alto volume"
ovos-skill-volume.openvoiceos,"ativar som"
ovos-skill-volume.openvoiceos,"ativar volume"
ovos-skill-weather.openvoiceos,"Como estará o tempo na terça-feira?"
ovos-skill-weather.openvoiceos,"Como estará o tempo nos próximos três dias?"
ovos-skill-weather.openvoiceos,"Como está o clima neste fim de semana?"
ovos-skill-weather.openvoiceos,"Como está o tempo?"
ovos-skill-weather.openvoiceos,"Como é o clima em Houston?"
ovos-skill-weather.openvoiceos,"Está muito ventoso?"
ovos-skill-weather.openvoiceos,"Qual é a previsão do tempo para amanhã em Londres?"
ovos-skill-weather.openvoiceos,"Qual é a previsão para amanhã?"
ovos-skill-weather.openvoiceos,"Qual é a temperatura em Paris amanhã em graus Celsius?"
ovos-skill-weather.openvoiceos,"Qual é a temperatura máxima amanhã?"
ovos-skill-wikipedia.openvoiceos,"Busque por feijões na Wikipédia"
ovos-skill-wikipedia.openvoiceos,"Conte-me mais"
ovos-skill-wikipedia.openvoiceos,"Conte-me sobre o Pembroke Welsh Corgi"
ovos-skill-wikipedia.openvoiceos,"Conte-me sobre o feijão"
ovos-skill-wikipedia.openvoiceos,"Fale-me sobre Elon Musk"
ovos-skill-wikipedia.openvoiceos,"Mais informações"
ovos-skill-wikipedia.openvoiceos,"Procure por chocolate"
