domain,utterance
ovos-skill-speedtest.openvoiceos,"executa una prova de velocitat"
ovos-skill-wikihow.openvoiceos,"Com puc aconseguir que el meu gos deixi de bordar?"
ovos-skill-wikihow.openvoiceos,"com bullir un ou"
ovos-skill-wordnet.openvoiceos,"quin és l'antònim de..."
ovos-skill-wordnet.openvoiceos,"quina és la definició de ..."
skill-ovos-audio-recording.openvoiceos,"comença l'enregistrament"
skill-ovos-audio-recording.openvoiceos,"comença un enregistrament amb nom {name}"
skill-ovos-audio-recording.openvoiceos,"comença un nou enregistrament d'àudio anomenat {name}"
skill-ovos-audio-recording.openvoiceos,"enregistrament nou amb nom {name}"
skill-ovos-audio-recording.openvoiceos,"inicia l'enregistrament"
skill-ovos-boot-finished.openvoiceos,"Activa les notificacions preparades."
skill-ovos-boot-finished.openvoiceos,"Desactiva les notificacions preparades."
skill-ovos-boot-finished.openvoiceos,"El sistema està preparat?"
skill-ovos-date-time.openvoiceos,"Digues-me el dia de la setmana"
skill-ovos-date-time.openvoiceos,"Mostra'm l'hora"
skill-ovos-date-time.openvoiceos,"Quants dies falten per al 24 de juny?"
skill-ovos-date-time.openvoiceos,"Quin dia és el dia del Punt Volat de 2026?"
skill-ovos-date-time.openvoiceos,"Quina data som?"
skill-ovos-date-time.openvoiceos,"Quina hora és a París?"
skill-ovos-date-time.openvoiceos,"Quina hora és?"
skill-ovos-ddg.openvoiceos,"Pregunta a l'ànec sobre el big bang"
skill-ovos-ddg.openvoiceos,"Quan va néixer Stephen Hawking?"
skill-ovos-ddg.openvoiceos,"Qui és Elon Musk"
skill-ovos-hello-world.openvoiceos,"Com estàs?"
skill-ovos-hello-world.openvoiceos,"Gràcies"
skill-ovos-hello-world.openvoiceos,"Hola món"
skill-ovos-icanhazdadjokes.openvoiceos,"Coneixes algun acudit de Chuck Norris?"
skill-ovos-icanhazdadjokes.openvoiceos,"Digues una broma."
skill-ovos-icanhazdadjokes.openvoiceos,"Explica'm un acudit sobre dentistes."
skill-ovos-icanhazdadjokes.openvoiceos,"Explica'm un acudit."
skill-ovos-icanhazdadjokes.openvoiceos,"Fes-me riure."
skill-ovos-icanhazdadjokes.openvoiceos,"Pots explicar acudits?"
skill-ovos-icanhazdadjokes.openvoiceos,"Saps cap acudit?"
skill-ovos-naptime.openvoiceos,"Desperta"
skill-ovos-naptime.openvoiceos,"Hora de la migdiada"
skill-ovos-naptime.openvoiceos,"Ves a dormir"
skill-ovos-news.openvoiceos,"posa euronews"
skill-ovos-news.openvoiceos,"posa les notícies"
skill-ovos-news.openvoiceos,"posa notícies en català"
skill-ovos-news.openvoiceos,"posa notícies en portuguès"
skill-ovos-news.openvoiceos,"posa npr news"
skill-ovos-news.openvoiceos,"posta notícies en castellà"
skill-ovos-parrot.openvoiceos,"Digues-me el que acabo de dir."
skill-ovos-parrot.openvoiceos,"Parla, puc dir el que vulguis!"
skill-ovos-parrot.openvoiceos,"Pots repetir això?"
skill-ovos-parrot.openvoiceos,"Què acabo de dir?"
skill-ovos-parrot.openvoiceos,"Repeteix això"
skill-ovos-parrot.openvoiceos,"Repeteix el que acabo de dir"
skill-ovos-parrot.openvoiceos,"comença el lloro"
skill-ovos-parrot.openvoiceos,"digues bona nit, Graciela"
skill-ovos-parrot.openvoiceos,"para el lloro"
skill-ovos-parrot.openvoiceos,"repeteix Hi havia una nit trista, mentre jo reflexionava, dèbil i cansat, sobre molts volums pintorescs i curiosos de tradicions oblidades."
skill-ovos-spelling.openvoiceos,"Com s'escriu arquitectura?"
skill-ovos-spelling.openvoiceos,"Com s'escriu burocràcia?"
skill-ovos-spelling.openvoiceos,"Lletreja omnipotència"
skill-ovos-spelling.openvoiceos,"Lletreja ornitorrinc"
skill-ovos-volume.openvoiceos,"abaixa el nivell de volum"
skill-ovos-volume.openvoiceos,"apuja el volum"
skill-ovos-volume.openvoiceos,"commuta el silenci"
skill-ovos-volume.openvoiceos,"commuta l'àudio"
skill-ovos-volume.openvoiceos,"deixa de silenciar"
skill-ovos-volume.openvoiceos,"màxim volum"
skill-ovos-volume.openvoiceos,"nivell de volum alt"
skill-ovos-volume.openvoiceos,"nivell de volum baix"
skill-ovos-volume.openvoiceos,"no silenciïs el volum"
skill-ovos-volume.openvoiceos,"no silencïis l'àudio"
skill-ovos-weather.openvoiceos,"Farà fred dimarts?"
skill-ovos-weather.openvoiceos,"Nevarà a Baltimore?"
skill-ovos-weather.openvoiceos,"Nevarà?"
skill-ovos-weather.openvoiceos,"Quan tornarà a ploure?"
skill-ovos-weather.openvoiceos,"Quan és la posta de sol?"
skill-ovos-weather.openvoiceos,"Quin temps fa a Houston?"
skill-ovos-weather.openvoiceos,"Quin temps fa?"
skill-ovos-weather.openvoiceos,"Quin temps farà aquest cap de setmana?"
skill-ovos-weather.openvoiceos,"Quin temps farà dimarts?"
skill-ovos-weather.openvoiceos,"Quin temps farà els pròxims tres dies?"
skill-ovos-wikipedia.openvoiceos,"Busca a la wikipedia qui era Joan Maragall"
skill-ovos-wikipedia.openvoiceos,"Busca informació sobre el Barri Vell de Banyoles"
skill-ovos-wikipedia.openvoiceos,"Cerca sobre xocolata"
skill-ovos-wikipedia.openvoiceos,"Consulta la Viquipèdia sobre fesols"
skill-ovos-wikipedia.openvoiceos,"Digues-me més"
skill-ovos-wikipedia.openvoiceos,"Més informació"
skill-ovos-wikipedia.openvoiceos,"Parla'm d'Elon Musk"
skill-ovos-wikipedia.openvoiceos,"Parla'm del Pembroke Welsh Corgi"
skill-ovos-wikipedia.openvoiceos,"Parla'm dels fesols"
skill-ovos-wikipedia.openvoiceos,"Què saps del Canigó?"
skill-ovos-wolfie.openvoiceos,"Quan es va estrenar The Rocky Horror Picture Show?"
skill-ovos-wolfie.openvoiceos,"Quant és 18 per 4?"
skill-ovos-wolfie.openvoiceos,"Quantes polzades té un metre?"
skill-ovos-wolfie.openvoiceos,"Quin és el nom real de Madonna?"
skill-ovos-wolfie.openvoiceos,"Quina alçada té l'Everest?"
skill-ovos-wolfie.openvoiceos,"pregunta al llop quina és la velocitat de la llum"
